Taxonomic Identification,Phylum or Class,Date,Station Number,Depth (m),Actual Count,Density (cells/mL),Biovolume (cubic micrometers/mL),Cell Volume (cubic micrometers/cell)
Planktothrix sp.,CYANOPHYCEAE,1/11/2017,13.0,2,545,7771.54539,48830.01856,6.28318
Gymnodinium sp.,DINOPHYCEAE,1/11/2017,13.0,2,2,28.51943,5734.16732,201.06176
Heterocapsa rotundata,DINOPHYCEAE,1/11/2017,13.0,2,1,14.25972,1493.27274,104.71967
Actinoptychus senarius,BACILLARIOPHYTA,1/11/2017,18.0,2,2,8.55583,29633.99750,3463.60298
Chaetoceros sp.,BACILLARIOPHYTA,1/11/2017,18.0,2,1,7.26380,6216.13620,855.76912
Cocconeis placentula,BACILLARIOPHYTA,1/11/2017,18.0,2,1,4.27791,1290.18765,301.59264
Cyclotella sp.,BACILLARIOPHYTA,1/11/2017,18.0,2,1,4.27791,1679.93183,392.69875
Fragilaria sp.,BACILLARIOPHYTA,1/11/2017,18.0,2,1,4.27791,536.23424,125.34944
Nitzschia brevissima,BACILLARIOPHYTA,1/11/2017,18.0,2,1,4.27791,2374.24277,555.00000
Nitzschia spp.,BACILLARIOPHYTA,1/11/2017,18.0,2,4,17.11166,581.79643,34.00000
Nitzschia spp.,BACILLARIOPHYTA,1/11/2017,18.0,2,2,8.55583,975.36460,114.00000
Paralia sulcata,BACILLARIOPHYTA,1/11/2017,18.0,2,7,29.94540,22766.43618,760.26478
Pseudo-nitzschia sp.,BACILLARIOPHYTA,1/11/2017,18.0,2,1,4.27791,154.00494,36.00000
Thalassiosira angulata,BACILLARIOPHYTA,1/11/2017,18.0,2,2,8.55583,10321.50117,1206.37056
Thalassiosira spp.,BACILLARIOPHYTA,1/11/2017,18.0,2,19,81.28038,14830.70700,182.46355
Thalassiosira spp.,BACILLARIOPHYTA,1/11/2017,18.0,2,1,7.26380,30806.84240,4241.14650
Thalassiosira tenera,BACILLARIOPHYTA,1/11/2017,18.0,2,1,7.26380,13806.02937,1900.66195
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,18.0,2,4,855.58298,27214.89567,31.80860
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,18.0,2,71,303.73196,17891.27400,58.90481
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,18.0,2,2,8.55583,16290.29991,1904.00000
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,18.0,2,1,4.27791,24694.99792,5772.67163
Pyramimonas spp.,CHLOROPHYTA,1/11/2017,18.0,2,2,8.55583,3583.85457,418.87867
Unknown Chlorophyte,CHLOROPHYTA,1/11/2017,18.0,2,2,8.55583,155.89767,18.22122
Unknown Chlorophyte,CHLOROPHYTA,1/11/2017,18.0,2,3,12.83374,1720.25020,134.04117
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/11/2017,18.0,2,8,34.22332,13439.45465,392.69875
Plagioselmis prolonga,CRYPTOPHYTA,1/11/2017,18.0,2,26,111.22579,9434.49717,84.82293
Teleaulax sp.,CRYPTOPHYTA,1/11/2017,18.0,2,17,72.72455,28558.84113,392.69875
Cylindrospermopsis raciborskii,CYANOPHYCEAE,1/11/2017,18.0,2,21,8.40008,79.16886,9.42477
Eucapsis microscopica,CYANOPHYCEAE,1/11/2017,18.0,2,516,110370.20430,29588.30336,0.26808
Planktolyngbya sp.,CYANOPHYCEAE,1/11/2017,18.0,2,41,175.39451,275.50882,1.57080
Planktothrix sp.,CYANOPHYCEAE,1/11/2017,18.0,2,163,65.20065,1290.45235,19.79202
Gymnodinium sp.,DINOPHYCEAE,1/11/2017,18.0,2,1,4.27791,1626.17401,380.13239
Heterocapsa rotundata,DINOPHYCEAE,1/11/2017,18.0,2,5,21.38957,3225.46912,150.79632
Heterocapsa triquetra,DINOPHYCEAE,1/11/2017,18.0,2,1,0.40000,779.95984,1949.88019
Karlodinium sp.,DINOPHYCEAE,1/11/2017,18.0,2,1,4.27791,2710.29002,633.55398
Prorocentrum micans,DINOPHYCEAE,1/11/2017,18.0,2,1,4.27791,68989.20054,16126.82867
Actinoptychus senarius,BACILLARIOPHYTA,1/11/2017,22.0,2,1,0.40000,831.27298,2078.16179
Amphora sp.,BACILLARIOPHYTA,1/11/2017,22.0,2,1,5.70389,484.89874,85.01199
Asterionellopsis glacialis,BACILLARIOPHYTA,1/11/2017,22.0,2,3,17.11166,4449.03149,260.00000
Ceratoneis closterium,BACILLARIOPHYTA,1/11/2017,22.0,2,1,0.40000,190.53933,476.34358
Chaetoceros spp.,BACILLARIOPHYTA,1/11/2017,22.0,2,2,11.40777,1612.73456,141.37155
Cocconeis scutellum,BACILLARIOPHYTA,1/11/2017,22.0,2,1,7.26380,13931.53873,1917.94070
Craticula buderi,BACILLARIOPHYTA,1/11/2017,22.0,2,1,5.70389,2902.92221,508.93758
Navicula spp.,BACILLARIOPHYTA,1/11/2017,22.0,2,2,11.40777,2822.28548,247.40021
Paralia sulcata,BACILLARIOPHYTA,1/11/2017,22.0,2,2,11.40777,2867.08366,251.32720
Skeletonema sp.,BACILLARIOPHYTA,1/11/2017,22.0,2,4,29.05520,4107.57899,141.37155
Thalassiosira spp.,BACILLARIOPHYTA,1/11/2017,22.0,2,34,193.93214,92149.86072,475.16549
Thalassiosira spp.,BACILLARIOPHYTA,1/11/2017,22.0,2,1,0.40000,482.55302,1206.37056
Thalassiosira spp.,BACILLARIOPHYTA,1/11/2017,22.0,2,2,11.40777,44798.18217,3926.98750
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,22.0,2,6,1283.37447,18143.26378,14.13716
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,22.0,2,100,570.38865,48382.03674,84.82293
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,22.0,2,2,11.40777,2177.19165,190.85159
Pyramimonas spp.,CHLOROPHYTA,1/11/2017,22.0,2,3,17.11166,967.64073,56.54862
Pyramimonas spp.,CHLOROPHYTA,1/11/2017,22.0,2,2,11.40777,5077.12731,445.05858
Unknown Chlorophyte,CHLOROPHYTA,1/11/2017,22.0,2,12,68.44664,2956.68002,43.19686
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/11/2017,22.0,2,18,102.66996,20298.95230,197.71073
Plagioselmis prolonga,CRYPTOPHYTA,1/11/2017,22.0,2,42,239.56323,22126.71814,92.36275
Teleaulax sp.,CRYPTOPHYTA,1/11/2017,22.0,2,39,222.45157,187001.05180,840.63712
Cylindrospermopsis sp.,CYANOPHYCEAE,1/11/2017,22.0,2,42,239.56323,1505.21892,6.28318
Eucapsis microscopica,CYANOPHYCEAE,1/11/2017,22.0,2,309,66093.78511,17718.57701,0.26808
Planktothrix sp.,CYANOPHYCEAE,1/11/2017,22.0,2,340,1939.32142,33435.92963,17.24105
Heterocapsa rotundata,DINOPHYCEAE,1/11/2017,22.0,2,29,165.41271,24943.62783,150.79632
Heterocapsa sp.,DINOPHYCEAE,1/11/2017,22.0,2,1,5.70389,2484.80584,435.63381
Unknown Dinoflagellate,DINOPHYCEAE,1/11/2017,22.0,2,1,5.70389,2628.16002,460.76653
Unknown Dinoflagellate,DINOPHYCEAE,1/11/2017,22.0,2,1,7.26380,13448.51787,1851.44371
Unknown Euglenophyte,EUGLENOPHYTA,1/11/2017,22.0,2,1,5.70389,3628.65276,636.17198
Dicrateria rotunda,HAPTOPHYTA,1/11/2017,22.0,2,1,5.70389,311.79535,54.66367
Actinoptychus senarius,BACILLARIOPHYTA,1/11/2017,27.0,2,1,0.40000,3015.95640,7539.81600
Amphora sp.,BACILLARIOPHYTA,1/11/2017,27.0,2,2,10.18551,427.81321,42.00213
Asterionellopsis glacialis,BACILLARIOPHYTA,1/11/2017,27.0,2,1,5.09276,611.13070,120.00000
Cocconeis sp.,BACILLARIOPHYTA,1/11/2017,27.0,2,1,5.09276,463.98117,91.10611
Cyclotella sp.,BACILLARIOPHYTA,1/11/2017,27.0,2,1,0.40000,2573.61613,6433.97632
Eunotogramma dubium,BACILLARIOPHYTA,1/11/2017,27.0,2,1,5.09276,2599.89450,510.50838
Fragilaria sp.,BACILLARIOPHYTA,1/11/2017,27.0,2,3,15.27827,479.98052,31.41590
Nitzschia spp.,BACILLARIOPHYTA,1/11/2017,27.0,2,1,5.09276,802.10904,157.50000
Nitzschia spp.,BACILLARIOPHYTA,1/11/2017,27.0,2,1,7.26380,63739.85007,8775.00000
Odontella aurita,BACILLARIOPHYTA,1/11/2017,27.0,2,1,7.26380,64894.04301,8933.89656
Paralia sulcata,BACILLARIOPHYTA,1/11/2017,27.0,2,7,35.64929,13999.43193,392.69875
Skeletonema sp.,BACILLARIOPHYTA,1/11/2017,27.0,2,6,30.55653,17423.29299,570.19859
Thalassiosira angulata,BACILLARIOPHYTA,1/11/2017,27.0,2,3,15.27827,18431.25209,1206.37056
Thalassiosira spp.,BACILLARIOPHYTA,1/11/2017,27.0,2,63,320.84362,125994.88730,392.69875
Thalassiosira spp.,BACILLARIOPHYTA,1/11/2017,27.0,2,2,14.52760,42787.28111,2945.24063
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,27.0,2,2,855.58298,12095.50919,14.13716
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,27.0,2,59,300.47259,17699.28179,58.90481
Unknown Diatom,BACILLARIOPHYTA,1/11/2017,27.0,2,1,5.09276,556.77741,109.32733
Unknown Chlorophyte,CHLOROPHYTA,1/11/2017,27.0,2,3,15.27827,671.97273,43.98226
Unknown Chlorophyte,CHLOROPHYTA,1/11/2017,27.0,2,3,15.27827,807.32724,52.84154
Pseudokephyrion sp.,CHRYSOPHYCEAE,1/11/2017,27.0,2,1,7.26380,114.09942,15.70795
Plagioselmis prolonga,CRYPTOPHYTA,1/11/2017,27.0,2,60,305.56535,103995.78000,340.33892
Teleaulax sp.,CRYPTOPHYTA,1/11/2017,27.0,2,63,320.84362,329266.63890,1026.25273
Eucapsis microscopica,CYANOPHYCEAE,1/11/2017,27.0,2,251,107375.66380,28785.51993,0.26808
Planktothrix sp.,CYANOPHYCEAE,1/11/2017,27.0,2,169,860.67573,7197.75593,8.36291
Unknown Cyanophyte,CYANOPHYCEAE,1/11/2017,27.0,2,35,254.23302,323.47185,1.27234
Heterocapsa rotundata,DINOPHYCEAE,1/11/2017,27.0,2,23,117.13338,12266.16893,104.71967
Heterocapsa triquetra,DINOPHYCEAE,1/11/2017,27.0,2,1,5.09276,5162.45718,1013.68637
Unknown Euglenophyte,EUGLENOPHYTA,1/11/2017,27.0,2,1,5.09276,4479.81822,879.64520
Aphanocapsa sp.,CYANOPHYCEAE,1/11/2017,36.0,2,22,18822.82553,9855.60008,0.52360
Eucapsis microscopica,CYANOPHYCEAE,1/11/2017,36.0,2,714,610886.24680,163767.81860,0.26808
Amphora sp.,BACILLARIOPHYTA,1/23/2017,18.0,2,2,28.51943,2994.96278,105.01481
Aulacoseira sp.,BACILLARIOPHYTA,1/23/2017,18.0,2,3,42.77915,6719.72733,157.07950
Cyclostephanos sp.,BACILLARIOPHYTA,1/23/2017,18.0,2,2,28.51943,18927.23197,663.66089
Cyclotella sp.,BACILLARIOPHYTA,1/23/2017,18.0,2,4,57.03887,4838.20367,84.82293
Entomoneis sp.,BACILLARIOPHYTA,1/23/2017,18.0,2,1,1.33335,3068.73564,2301.52883
Fragilaria sp.,BACILLARIOPHYTA,1/23/2017,18.0,2,1,14.25972,1679.93183,117.80963
Navicula spp.,BACILLARIOPHYTA,1/23/2017,18.0,2,1,14.25972,3191.87048,223.83829
Navicula spp.,BACILLARIOPHYTA,1/23/2017,18.0,2,1,14.25972,4233.42822,296.88026
Nitzschia fonticola,BACILLARIOPHYTA,1/23/2017,18.0,2,1,14.25972,1347.54319,94.50000
Nitzschia inconspicua,BACILLARIOPHYTA,1/23/2017,18.0,2,2,28.51943,330.82542,11.60000
Nitzschia spp.,BACILLARIOPHYTA,1/23/2017,18.0,2,1,14.25972,912.62184,64.00000
Sellaphora pupula,BACILLARIOPHYTA,1/23/2017,18.0,2,1,14.25972,27378.65532,1920.00000
Unknown Diatom,BACILLARIOPHYTA,1/23/2017,18.0,2,5,71.29858,2799.88639,39.26988
Monoraphidium sp.,CHLOROPHYTA,1/23/2017,18.0,2,1,14.25972,352.78568,24.74002
Pyramimonas spp.,CHLOROPHYTA,1/23/2017,18.0,2,1,24.21267,12272.02611,506.84319
Unknown Chlorophyte,CHLOROPHYTA,1/23/2017,18.0,2,1,24.21267,2205.92205,91.10611
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/23/2017,18.0,2,3,42.77915,16799.31831,392.69875
Plagioselmis prolonga,CRYPTOPHYTA,1/23/2017,18.0,2,8,114.07773,9676.40735,84.82293
Eucapsis microscopica,CYANOPHYCEAE,1/23/2017,18.0,2,263,375030.53900,100539.06700,0.26808
Planktothrix sp.,CYANOPHYCEAE,1/23/2017,18.0,2,468,6673.54723,132082.96030,19.79202
Pseudanabaena sp.,CYANOPHYCEAE,1/23/2017,18.0,2,6,85.55830,377.98466,4.41786
Heterocapsa sp.,DINOPHYCEAE,1/23/2017,18.0,2,1,1.33335,675.79764,506.84319
Aulacoseira sp.,BACILLARIOPHYTA,1/23/2017,22.0,2,2,8.55583,6881.00078,804.24704
Fragilaria sp.,BACILLARIOPHYTA,1/23/2017,22.0,2,4,17.11166,725.73055,42.41147
Gomphonema parvulum,BACILLARIOPHYTA,1/23/2017,22.0,2,1,7.26380,2468.59689,339.84921
Navicula spp.,BACILLARIOPHYTA,1/23/2017,22.0,2,1,4.27791,1461.54069,341.64791
Nitzschia inconspicua,BACILLARIOPHYTA,1/23/2017,22.0,2,1,4.27791,51.33498,12.00000
Nitzschia spp.,BACILLARIOPHYTA,1/23/2017,22.0,2,1,0.40000,49.28049,123.20000
Nitzschia spp.,BACILLARIOPHYTA,1/23/2017,22.0,2,6,25.66749,4004.12834,156.00000
Reimeria sinuata,BACILLARIOPHYTA,1/23/2017,22.0,2,2,8.55583,786.20810,91.89151
Rhoicosphenia sp.,BACILLARIOPHYTA,1/23/2017,22.0,2,1,0.40000,119.93733,299.84034
Skeletonema sp.,BACILLARIOPHYTA,1/23/2017,22.0,2,5,21.38957,1663.13251,77.75435
Thalassiosira spp.,BACILLARIOPHYTA,1/23/2017,22.0,2,17,72.72455,18277.65832,251.32720
Unknown Diatom,BACILLARIOPHYTA,1/23/2017,22.0,2,24,102.66996,6047.75459,58.90481
Unknown Diatom,BACILLARIOPHYTA,1/23/2017,22.0,2,1,0.40000,265.46700,663.66089
Monoraphidium contortum,CHLOROPHYTA,1/23/2017,22.0,2,2,8.55583,376.30473,43.98226
Monoraphidium minutum,CHLOROPHYTA,1/23/2017,22.0,2,1,4.27791,116.47527,27.22711
Monoraphidium tortile,CHLOROPHYTA,1/23/2017,22.0,2,1,4.27791,143.35418,33.51029
Pyramimonas spp.,CHLOROPHYTA,1/23/2017,22.0,2,1,4.27791,167.99318,39.26988
Pyramimonas spp.,CHLOROPHYTA,1/23/2017,22.0,2,2,8.55583,483.82037,56.54862
Pyramimonas spp.,CHLOROPHYTA,1/23/2017,22.0,2,1,0.40000,230.38556,575.95817
Unknown Chlorophyte,CHLOROPHYTA,1/23/2017,22.0,2,4,17.11166,739.17001,43.19686
Unknown Chrysophyte,CHRYSOPHYCEAE,1/23/2017,22.0,2,1,7.26380,198.53298,27.33183
Cryptomonas spp.,CRYPTOPHYTA,1/23/2017,22.0,2,1,0.40000,144.76591,361.91117
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/23/2017,22.0,2,8,34.22332,12364.29828,361.28285
Plagioselmis prolonga,CRYPTOPHYTA,1/23/2017,22.0,2,41,175.39451,32326.36825,184.30661
Teleaulax sp.,CRYPTOPHYTA,1/23/2017,22.0,2,29,124.05953,58162.82386,468.82995
Eucapsis microscopica,CYANOPHYCEAE,1/23/2017,22.0,2,804,343944.35740,92205.41047,0.26808
Planktothrix sp.,CYANOPHYCEAE,1/23/2017,22.0,2,657,2810.59009,19425.38775,6.91150
Heterocapsa rotundata,DINOPHYCEAE,1/23/2017,22.0,2,34,145.44911,20495.34753,140.91078
Heterocapsa triquetra,DINOPHYCEAE,1/23/2017,22.0,2,5,21.38957,61496.70457,2875.07845
Karlodinium sp.,DINOPHYCEAE,1/23/2017,22.0,2,1,4.27791,788.44801,184.30661
Unknown Euglenophyte,EUGLENOPHYTA,1/23/2017,22.0,2,1,4.27791,2225.90968,520.32584
Heterosigma akashiwo,RAPHIDOPHYCEAE,1/23/2017,22.0,2,1,0.40000,605.28569,1513.19918
Actinoptychus senarius,BACILLARIOPHYTA,1/23/2017,27.0,2,2,14.25972,14718.89073,1032.20081
Cocconeis placentula,BACILLARIOPHYTA,1/23/2017,27.0,2,1,7.12986,2069.67602,290.28292
Cocconeis scutellum,BACILLARIOPHYTA,1/23/2017,27.0,2,1,7.12986,7884.48006,1105.83968
Craticula vixnegligenda,BACILLARIOPHYTA,1/23/2017,27.0,2,1,7.12986,2435.90116,341.64791
Navicula capitatoradiata,BACILLARIOPHYTA,1/23/2017,27.0,2,1,7.12986,5375.78186,753.98160
Nitzschia spp.,BACILLARIOPHYTA,1/23/2017,27.0,2,1,7.12986,319.41765,44.80000
Paralia sulcata,BACILLARIOPHYTA,1/23/2017,27.0,2,8,57.03887,22399.09108,392.69875
Psammothidium sp.,BACILLARIOPHYTA,1/23/2017,27.0,2,1,7.12986,671.97273,94.24770
Thalassiosira spp.,BACILLARIOPHYTA,1/23/2017,27.0,2,12,85.55830,21503.12744,251.32720
Unknown Diatom,BACILLARIOPHYTA,1/23/2017,27.0,2,1,356.49291,19352.81470,54.28668
Unknown Diatom,BACILLARIOPHYTA,1/23/2017,27.0,2,22,156.85688,11179.94634,71.27482
Tetrastrum staurogeniaeforme,CHLOROPHYTA,1/23/2017,27.0,2,4,28.51943,403.18364,14.13716
Unknown Chlorophyte,CHLOROPHYTA,1/23/2017,27.0,2,1,7.12986,307.98750,43.19686
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/23/2017,27.0,2,6,42.77915,16799.31831,392.69875
Plagioselmis prolonga,CRYPTOPHYTA,1/23/2017,27.0,2,88,627.42752,213538.00170,340.33892
Teleaulax sp.,CRYPTOPHYTA,1/23/2017,27.0,2,30,213.89574,170345.08770,796.39307
Unknown Cryptophyte,CRYPTOPHYTA,1/23/2017,27.0,2,2,712.98582,6533.06823,9.16297
Eucapsis microscopica,CYANOPHYCEAE,1/23/2017,27.0,2,397,141527.68440,37941.07375,0.26808
Planktothrix sp.,CYANOPHYCEAE,1/23/2017,27.0,2,459,3272.60489,20562.36562,6.28318
Heterocapsa rotundata,DINOPHYCEAE,1/23/2017,27.0,2,12,85.55830,15070.10848,176.13848
Heterocapsa triquetra,DINOPHYCEAE,1/23/2017,27.0,2,1,7.12986,13902.36920,1949.88019
Karlodinium veneficum,DINOPHYCEAE,1/23/2017,27.0,2,1,7.12986,2669.22502,374.37281
Achnanthidium sp.,BACILLARIOPHYTA,1/23/2017,36.0,2,1,8.55583,9407.61826,1099.55650
Craticula accomoda,BACILLARIOPHYTA,1/23/2017,36.0,2,1,14.52760,6845.96498,471.23850
Diadesmis sp.,BACILLARIOPHYTA,1/23/2017,36.0,2,1,8.55583,2540.05693,296.88026
Nitzschia spp.,BACILLARIOPHYTA,1/23/2017,36.0,2,5,42.77915,2117.56787,49.50000
Skeletonema sp.,BACILLARIOPHYTA,1/23/2017,36.0,2,6,51.33498,4068.92929,79.26232
Thalassiosira spp.,BACILLARIOPHYTA,1/23/2017,36.0,2,2,17.11166,6719.72733,392.69875
Unknown Diatom,BACILLARIOPHYTA,1/23/2017,36.0,2,20,171.11660,10079.59099,58.90481
Oocystis parva,CHLOROPHYTA,1/23/2017,36.0,2,12,102.66996,10751.56372,104.71967
Unknown Chlorophyte,CHLOROPHYTA,1/23/2017,36.0,2,1,8.55583,335.98637,39.26988
Kephyrion sp.,CHRYSOPHYCEAE,1/23/2017,36.0,2,1,14.52760,1140.99416,78.53975
Plagioselmis nannoplanctica,CRYPTOPHYTA,1/23/2017,36.0,2,3,25.66749,10079.59099,392.69875
Plagioselmis prolonga,CRYPTOPHYTA,1/23/2017,36.0,2,17,145.44911,12337.41937,84.82293
Teleaulax sp.,CRYPTOPHYTA,1/23/2017,36.0,2,31,265.23072,134430.38510,506.84319
Lyngbya sp.,CYANOPHYCEAE,1/23/2017,36.0,2,507,4337.80570,1236705.33700,285.09929
Planktothrix sp.,CYANOPHYCEAE,1/23/2017,36.0,2,840,7186.89702,61774.18451,8.59539
Heterocapsa rotundata,DINOPHYCEAE,1/23/2017,36.0,2,32,273.78655,38579.47771,140.91078
Heterocapsa triquetra,DINOPHYCEAE,1/23/2017,36.0,2,15,128.33745,361252.54100,2814.86464
Unknown Dinoflagellate,DINOPHYCEAE,1/23/2017,36.0,2,1,8.55583,5420.58004,633.55398
Achnanthidium minutissimum,BACILLARIOPHYTA,2/8/2017,4.0,2,3,64.16872,3326.26503,51.83624
